Label,X,Y
3f-1,1189,362
3f-2,1141,344
3f-3,1110,344
3f-4,1110,380
3f-5,1043,381
3f-6,1041,260
3f-7,882,378
3f-8,860,379
3f-9,858,342
3f-10,682,341
3f-11,650,398
3f-12,620,342
3f-13,602,342
3f-14,574,342
3f-15,583,380
3f-16,558,380
3f-17,546,340
3f-18,422,237
3f-19,442,673
3f-20,456,1153
3f-21,472,1116
3f-22,554,1116
3f-23,582,1116
3f-24,599,1153
3f-25,618,1155
3f-26,641,1153
3f-27,623,1113
3f-28,683,1154
3f-29,862,1152
3f-30,860,1116
3f-31,1044,1154
3f-32,1044,1116
3f-33,1114,1113
3f-34,1139,1151
3f-35,1188,1136
3f-36,1188,1105
3f-37,1150,1093
3f-38,1152,1053
3f-39,1189,1046
3f-40,1189,1016
3f-41,1154,982
3f-42,1153,961
3f-43,1152,916
3f-44,1188,895
3f-45,1152,883
3f-46,1191,854
3f-47,1152,827
3f-48,1189,772
3f-49,1092,776
3f-50,1187,735
3f-51,1153,666
3f-52,1155,600
3f-53,1187,606
3f-54,1153,537
3f-55,1154,518
3f-56,1191,484
3f-57,1190,443
3f-58,1147,451
3f-59,1148,403
3f-60,1189,394
3f-61,1167,362
3f-62,1141,361
3f-63,1111,361
3f-64,1041,361
3f-65,884,361
3f-66,858,360
3f-67,682,363
3f-68,677,396
3f-69,648,364
3f-70,619,363
3f-71,603,362
3f-72,582,362
3f-73,559,364
3f-74,546,361
3f-75,421,361
3f-76,420,675
3f-77,421,1135
3f-78,452,1136
3f-79,472,1136
3f-80,555,1136
3f-81,583,1135
3f-82,600,1134
3f-83,618,1135
3f-84,640,1135
3f-85,684,1134
3f-86,680,1098
3f-87,647,1099
3f-88,860,1135
3f-89,1042,1135
3f-90,1112,1135
3f-91,1138,1134
3f-92,1166,1134
3f-93,1167,1107
3f-94,1169,1094
3f-95,1171,1053
3f-96,1168,1016
3f-97,1172,983
3f-98,1171,962
3f-99,1171,917
3f-100,1170,895
3f-101,1172,882
3f-102,1170,854
3f-103,1170,829
3f-104,1170,772
3f-105,1169,734
3f-106,1171,668
3f-107,1170,610
3f-108,1172,538
3f-109,1172,521
3f-110,1170,485
3f-111,1169,449
3f-112,1170,403
