Label,X,Y
4f-1,1188,135
4f-2,1130,232
4f-3,1166,290
4f-5,1129,328
4f-6,1166,363
4f-7,1129,370
4f-8,1164,406
4f-9,1129,443
4f-10,1129,460
4f-11,1167,450
4f-12,1166,496
4f-13,1129,496
4f-14,1167,534
4f-15,1129,587
4f-16,1129,700
4f-17,1127,727
4f-18,1164,785
4f-19,1129,812
4f-20,1129,861
4f-21,1165,867
4f-22,1128,892
4f-23,1167,945
4f-24,1131,981
4f-25,1165,994
4f-26,1167,1015
4f-27,1129,1020
4f-28,1166,1058
4f-29,1149,1077
4f-30,1089,1036
4f-31,1022,1041
4f-32,860,1045
4f-33,822,1042
4f-34,822,1077
4f-35,666,1080
4f-36,618,1080
4f-37,626,1028
4f-38,592,1080
4f-39,562,1041
4f-40,523,1083
4f-41,504,1062
4f-42,527,1022
4f-43,541,999
4f-44,528,970
4f-45,529,931
4f-46,501,926
4f-47,528,906
4f-48,526,857
4f-49,505,845
4f-50,505,814
4f-51,509,785
4f-52,542,766
4f-53,541,747
4f-54,511,729
4f-55,511,703
4f-56,544,684
4f-57,545,664
4f-58,512,647
4f-59,511,621
4f-60,543,605
4f-61,543,584
4f-62,504,526
4f-63,503,506
4f-64,531,498
4f-65,530,422
4f-66,528,385
4f-67,543,363
4f-68,504,358
4f-69,504,343
4f-70,531,335
4f-71,562,309
4f-72,506,280
4f-73,532,267
4f-74,566,244
4f-75,584,261
4f-76,626,321
4f-77,655,271
4f-78,836,270
4f-79,837,309
4f-80,859,307
4f-81,1007,269
4f-82,1031,309
4f-83,1071,305
4f-84,626,494
4f-85,628,855
4f-86,1188,209
4f-87,1145,209
4f-88,1145,232
4f-89,1143,292
4f-90,1145,326
4f-91,1146,368
4f-92,1148,408
4f-93,1148,444
4f-94,1148,461
4f-95,1149,493
4f-96,1147,534
4f-97,1149,584
4f-98,1150,700
4f-99,1150,730
4f-100,1148,786
4f-101,1146,810
4f-102,1148,865
4f-103,1148,889
4f-104,1147,948
4f-105,1149,983
4f-106,1147,1018
4f-107,1148,1057
4f-108,1090,1058
4f-109,1023,1060
4f-110,861,1064
4f-111,821,1061
4f-112,664,1061
4f-113,647,1062
4f-114,646,1026
4f-115,649,854
4f-116,648,495
4f-117,648,322
4f-118,619,1061
4f-119,592,1062
4f-120,563,1061
4f-121,521,1063
4f-122,516,1020
4f-123,517,998
4f-124,517,972
4f-125,519,936
4f-126,517,905
4f-127,517,855
4f-128,517,829
4f-129,539,827
4f-130,529,812
4f-131,530,785
4f-132,529,767
4f-133,529,747
4f-134,529,728
4f-135,529,704
4f-136,530,687
4f-137,530,666
4f-138,531,648
4f-139,529,625
4f-140,529,606
4f-141,528,584
4f-142,530,527
4f-143,522,527
4f-144,521,501
4f-145,516,424
4f-146,516,384
4f-147,522,358
4f-148,522,342
4f-149,524,281
4f-150,546,283
4f-151,567,286
4f-152,565,261
4f-153,649,290
4f-154,835,292
4f-155,861,291
4f-156,1008,293
4f-157,1031,293
4f-158,1072,292

4f-159,1128,910
4f-160,529,441
4f-161,518,442
4f-162,1147,912
