Label,X,Y
8f-1,1715,345
8f-2,1668,317
8f-3,1646,360
8f-4,1646,445
8f-5,1678,482
8f-6,1638,674
8f-7,1640,743
8f-8,1639,1365
8f-9,1649,1464
8f-10,1859,692
8f-11,1826,1512
8f-12,1825,1542
8f-13,1649,1574
8f-14,1648,1647
8f-15,1648,1726
8f-16,1803,1728
8f-17,1715,1953
8f-21,586,1770
8f-22,500,1767
8f-23,442,1767
8f-24,450,316
8f-25,498,318
8f-26,587,318
8f-27,822,274
8f-28,1670,360
8f-29,1670,444
8f-30,1727,516
8f-31,1669,517
8f-32,1723,674
8f-33,1726,745
8f-34,1858,743
8f-35,1715,1359
8f-36,1717,1460
8f-37,1789,1513
8f-38,1721,1513
8f-39,1721,1540
8f-40,1789,1538
8f-41,1682,1573
8f-42,1680,1648
8f-43,1678,1726
8f-44,1786,1955
8f-45,587,1804
8f-46,502,1804
8f-47,438,1805
8f-48,448,272
8f-49,500,276
8f-50,587,278
