Label,X,Y
6f-1,1681,351
6f-2,1615,361
6f-3,1617,444
6f-4,1683,508
6f-5,1684,589
6f-6,1617,589
6f-7,1615,623
6f-8,1612,685
6f-9,1615,767
6f-11,1684,946
6f-12,1613,1026
6f-13,1683,1170
6f-14,1684,1239
6f-15,1614,1333
6f-16,1614,1367
6f-17,1614,1471
6f-18,1614,1508
6f-19,1683,1522
6f-20,1615,1648
6f-21,1614,1729
6f-22,1582,1842
6f-23,1533,1773
6f-24,1403,1772
6f-25,1403,1839
6f-26,1232,1839
6f-27,1196,1772
6f-28,1156,1842
6f-29,1078,1842
6f-30,1083,1774
6f-31,1033,1774
6f-32,631,1744
6f-33,601,1841
6f-34,550,1840
6f-35,499,1770
6f-36,421,1843
6f-37,297,1773
6f-38,620,1479
6f-39,369,1314
6f-40,358,1365
6f-41,322,1366
6f-42,305,1202
6f-43,338,1262
6f-44,343,1096
6f-45,306,1089
6f-46,306,897
6f-47,342,858
6f-48,313,817
6f-49,336,727
6f-50,620,613
6f-51,625,349
6f-52,671,253
6f-53,532,217
6f-54,480,217
6f-55,380,225
6f-56,414,325
6f-57,499,324
6f-58,972,253
6f-59,979,316
6f-60,1084,321
6f-61,1156,252
6f-62,1246,252
6f-63,1404,253
6f-64,1396,320
6f-65,1534,318
6f-66,1531,253
6f-67,1652,80
6f-68,210,1803
6f-69,418,39
6f-70,421,224
6f-71,414,281
6f-72,482,275
6f-73,535,276
6f-74,670,277
6f-75,974,288
6f-76,1082,289
6f-77,1157,291
6f-78,1246,289
6f-79,1404,290
6f-80,1535,285
6f-81,1650,287
6f-82,1654,361
6f-83,1653,442
6f-84,1652,502
6f-85,1652,589
6f-86,1651,622
6f-87,1650,686
6f-88,1654,764
6f-89,1651,945
6f-90,1652,1026
6f-91,1650,1169
6f-92,1650,1242
6f-93,1652,1332
6f-94,1652,1365
6f-95,1649,1466
6f-96,1650,1521
6f-97,1647,1649
6f-98,1648,1730
6f-99,1648,1806
6f-100,1576,1806
6f-101,1529,1809
6f-102,1401,1806
6f-103,1234,1807
6f-104,1196,1804
6f-105,1152,1805
6f-106,1078,1808
6f-107,1033,1811
6f-108,668,1813
6f-109,606,1806
6f-110,549,1805
6f-111,495,1805
6f-112,421,1801
6f-113,296,1805
6f-114,668,1742
6f-115,664,1473
6f-116,664,1335
6f-117,666,748
6f-118,666,614
6f-119,671,348
6f-120,331,756
6f-121,333,814
6f-122,329,856
6f-123,328,893
6f-124,329,1091
6f-125,329,1202
6f-126,324,1261
6f-127,324,1337
6f-128,363,1340
6f-129,671,1843
