Label,X,Y
4f-1,1727,11
4f-2,1614,195
4f-3,1683,307
4f-5,1613,384
4f-6,1683,447
4f-7,1617,466
4f-8,1683,542
4f-9,1614,610
4f-10,1614,646
4f-11,1685,623
4f-12,1686,712
4f-13,1615,712
4f-14,1685,786
4f-15,1613,892
4f-16,1613,1120
4f-17,1616,1174
4f-18,1683,1283
4f-19,1614,1337
4f-20,1616,1429
4f-21,1682,1447
4f-22,1615,1493
4f-23,1686,1596
4f-24,1615,1666
4f-25,1683,1694
4f-26,1687,1734
4f-27,1615,1745
4f-28,1686,1817
4f-29,1653,1860
4f-30,1538,1789
4f-31,1403,1792
4f-32,1085,1790
4f-33,1012,1788
4f-34,1011,1858
4f-35,699,1860
4f-36,604,1861
4f-37,632,1755
4f-38,558,1862
4f-39,498,1788
4f-40,424,1869
4f-41,380,1824
4f-42,432,1746
4f-43,458,1698
4f-44,429,1646
4f-45,432,1568
4f-46,382,1567
4f-47,432,1519
4f-48,433,1424
4f-49,384,1402
4f-50,382,1343
4f-51,401,1287
4f-52,457,1245
4f-53,459,1208
4f-54,399,1166
4f-55,401,1129
4f-56,460,1087
4f-57,459,1046
4f-58,400,1005
4f-59,400,962
4f-60,457,931
4f-61,459,887
4f-62,383,772
4f-63,380,730
4f-64,432,719
4f-65,433,565
4f-66,432,488
4f-67,458,450
4f-68,381,445
4f-69,382,412
4f-70,433,396
4f-71,500,348
4f-72,380,293
4f-73,445,266
4f-74,504,218
4f-75,546,252
4f-76,631,370
4f-77,679,268
4f-78,1039,267
4f-79,1039,347
4f-80,1084,347
4f-81,1376,267
4f-82,1421,347
4f-83,1502,346
4f-84,629,713
4f-85,629,1421
4f-86,1728,151
4f-87,1645,152
4f-88,1642,194
4f-89,1633,312
4f-90,1643,376
4f-91,1647,458
4f-92,1652,544
4f-93,1651,608
4f-94,1650,648
4f-95,1649,710
4f-96,1651,788
4f-97,1651,890
4f-98,1648,1117
4f-99,1648,1170
4f-100,1647,1281
4f-101,1645,1331
4f-102,1647,1439
4f-103,1647,1490
4f-104,1648,1596
4f-105,1649,1672
4f-106,1647,1738
4f-107,1652,1817
4f-108,1538,1822
4f-109,1404,1821
4f-110,1087,1824
4f-111,1009,1823
4f-112,701,1825
4f-113,665,1824
4f-114,664,1757
4f-115,665,1420
4f-116,669,711
4f-117,668,368
4f-118,607,1826
4f-119,556,1826
4f-120,495,1825
4f-121,412,1821
4f-122,410,1747
4f-123,409,1700
4f-124,411,1645
4f-125,410,1568
4f-126,409,1518
4f-127,411,1411
4f-128,412,1369
4f-129,437,1368
4f-130,432,1337
4f-131,435,1283
4f-132,434,1245
4f-133,435,1209
4f-134,435,1172
4f-135,434,1123
4f-136,435,1089
4f-137,439,1046
4f-138,435,1010
4f-139,432,967
4f-140,435,929
4f-141,434,887
4f-142,431,776
4f-143,413,776
4f-144,414,721
4f-145,412,566
4f-146,411,489
4f-147,414,448
4f-148,413,407
4f-149,414,294
4f-150,449,294
4f-151,504,302
4f-152,506,253
4f-153,672,308
4f-154,1038,311
4f-155,1086,314
4f-156,1373,313
4f-157,1426,315
4f-158,1500,313
4f-159,1614,1523
4f-160,431,609
4f-161,411,607
4f-162,1650,1523
