Label,X,Y
3f-1,1679,681
3f-2,1583,655
3f-3,1521,654
3f-4,1523,726
3f-5,1387,721
3f-6,1390,484
3f-7,1075,722
3f-8,1030,719
3f-9,1029,653
3f-10,681,638
3f-11,617,753
3f-12,559,646
3f-13,522,646
3f-14,468,645
3f-15,486,719
3f-16,436,720
3f-17,414,649
3f-18,166,443
3f-19,214,1294
3f-20,231,2243
3f-21,266,2173
3f-22,431,2172
3f-23,484,2175
3f-24,517,2242
3f-25,551,2243
3f-26,600,2244
3f-27,570,2175
3f-28,687,2240
3f-29,1031,2240
3f-30,1033,2177
3f-31,1391,2242
3f-32,1394,2174
3f-33,1529,2174
3f-34,1579,2239
3f-35,1675,2207
3f-36,1676,2144
3f-37,1608,2117
3f-38,1612,2047
3f-39,1677,2027
3f-40,1678,1967
3f-41,1609,1908
3f-42,1611,1868
3f-43,1611,1775
3f-44,1679,1725
3f-45,1608,1705
3f-46,1678,1652
3f-47,1611,1604
3f-48,1676,1490
3f-49,1484,1494
3f-50,1680,1418
3f-51,1610,1281
3f-52,1610,1150
3f-53,1677,1165
3f-54,1610,1028
3f-55,1609,986
3f-56,1678,926
3f-57,1680,846
3f-58,1593,856
3f-59,1604,762
3f-60,1676,749
3f-61,1637,685
3f-62,1587,681
3f-63,1526,681
3f-64,1389,677
3f-65,1077,676
3f-66,1030,679
3f-67,681,681
3f-68,678,754
3f-69,615,686
3f-70,562,683
3f-71,528,682
3f-72,481,685
3f-73,440,681
3f-74,414,679
3f-75,165,674
3f-76,167,1293
3f-77,164,2199
3f-78,228,2199
3f-79,269,2201
3f-80,435,2203
3f-81,488,2202
3f-82,517,2202
3f-83,548,2200
3f-84,596,2203
3f-85,671,2203
3f-86,673,2143
3f-87,621,2138
3f-88,1033,2201
3f-89,1390,2203
3f-90,1526,2208
3f-91,1579,2204
3f-92,1636,2204
3f-93,1638,2141
3f-94,1638,2114
3f-95,1641,2043
3f-96,1644,1969
3f-97,1640,1899
3f-98,1641,1855
3f-99,1641,1772
3f-100,1643,1734
3f-101,1641,1703
3f-102,1644,1651
3f-103,1639,1597
3f-104,1645,1490
3f-105,1640,1417
3f-106,1640,1279
3f-107,1640,1163
3f-108,1645,1026
3f-109,1641,985
3f-110,1642,923
3f-111,1641,851
3f-112,1638,755
