Label,X,Y
2f-1,686,230
2f-2,629,330
2f-3,586,201
2f-4,545,201
2f-5,502,306
2f-6,431,309
2f-7,325,229
2f-8,252,305
2f-9,232,873
2f-10,233,1017
2f-11,277,1104
2f-12,226,1356
2f-13,231,1465
2f-14,252,1826
2f-15,318,1757
2f-16,445,1751
2f-17,513,1753
2f-18,565,1830
2f-19,612,1830
2f-20,629,1717
2f-21,676,1828
2f-22,630,1522
2f-23,628,1179
2f-24,630,851
2f-25,778,306
2f-26,841,232
2f-27,1000,229
2f-28,1003,308
2f-29,1084,307
2f-30,1242,308
2f-31,1260,233
2f-32,1319,232
2f-33,1395,237
2f-34,1476,297
2f-35,1682,249
2f-36,1613,340
2f-37,1613,414
2f-38,1611,483
2f-39,1687,572
2f-40,1683,639
2f-41,1685,736
2f-42,1687,1009
2f-43,1611,1057
2f-44,1684,1156
2f-45,1687,1339
2f-46,1685,1460
2f-47,1614,1561
2f-48,1592,1628
2f-49,1685,1665
2f-50,1614,1710
2f-51,1685,1788
2f-52,1476,1830
2f-53,1474,1753
2f-54,1417,1754
2f-55,1380,1753
2f-56,1358,1789
2f-57,974,1784
2f-58,861,1746
2f-59,920,1992
2f-60,1404,1992
2f-61,1417,1789
2f-62,1473,1788
2f-63,1648,1785
2f-64,1642,1709
2f-65,1644,1660
2f-66,1644,1628
2f-67,1646,1562
2f-68,1649,1466
2f-69,1647,1341
2f-70,1650,1152
2f-71,1649,1055
2f-72,1652,1012
2f-73,1650,736
2f-74,1651,640
2f-75,1649,572
2f-76,1649,483
2f-77,1650,418
2f-78,1649,338
2f-79,1648,254
2f-80,1475,255
2f-81,1396,261
2f-82,1320,258
2f-83,1248,256
2f-84,1085,258
2f-85,1005,264
2f-86,841,258
2f-87,777,258
2f-88,685,261
2f-89,582,251
2f-90,542,253
2f-91,497,257
2f-92,430,255
2f-93,324,256
2f-94,250,256
2f-95,189,252
2f-96,186,867
2f-97,189,1015
2f-98,186,1349
2f-99,187,1464
2f-100,188,1781
2f-101,249,1786
2f-102,320,1787
2f-103,446,1784
2f-104,514,1783
2f-105,568,1785
2f-106,613,1785
2f-107,682,1788
2f-108,861,1790
2f-109,917,1785
2f-110,677,1714
2f-111,677,1519
2f-112,680,1182
2f-113,679,851
2f-114,679,505
2f-115,686,329
2f-116,1391,495
2f-117,919,2024
2f-118,1403,2020
