Label,X,Y
5f-1,433,104
5f-2,1742,19
5f-3,1930,316
5f-4,1859,1826
5f-5,235,1825
5f-6,502,251
5f-7,687,283
5f-8,1046,284
5f-9,1414,282
5f-10,1596,283
5f-11,1777,243
5f-12,1697,480
5f-13,1698,650
5f-14,1698,702
5f-15,1697,863
5f-16,1697,967
5f-17,1697,1213
5f-18,1700,1289
5f-19,1700,1344
5f-20,1699,1497
5f-21,1699,1750
5f-22,1626,1742
5f-23,1625,1670
5f-24,1629,1534
5f-25,1629,1496
5f-26,1627,1343
5f-27,1631,1292
5f-28,1629,1178
5f-29,1536,1130
5f-30,1537,1016
5f-31,1553,999
5f-32,1628,702
5f-33,1630,655
5f-34,1628,617
5f-35,1625,478
5f-36,1629,393
5f-37,1543,358
5f-38,1412,359
5f-39,1047,359
5f-40,692,440
5f-41,645,383
5f-42,509,355
5f-43,473,454
5f-44,475,560
5f-45,475,660
5f-46,477,815
5f-47,474,1178
5f-48,475,1287
5f-49,477,1529
5f-50,477,1586
5f-51,476,1701
5f-52,407,1704
5f-53,406,1451
5f-54,407,1191
5f-55,406,815
5f-56,407,654
5f-57,406,226
5f-58,511,1795
5f-59,642,1762
5f-60,302,1867
5f-61,441,1867
5f-62,571,1864
5f-63,618,1868
5f-64,701,1866
5f-65,1049,1866
5f-66,1413,1864
5f-67,1581,1865
5f-68,1800,1866
5f-69,1549,1794
5f-70,1412,1796
5f-71,1053,1797
5f-72,436,225
5f-73,438,306
5f-74,504,305
5f-75,689,311
5f-76,688,383
5f-77,1046,312
5f-78,1415,317
5f-79,1541,316
5f-80,1595,314
5f-81,1661,315
5f-82,1741,317
5f-83,1738,246
5f-84,1665,393
5f-85,1658,480
5f-86,1658,614
5f-87,1658,655
5f-88,1659,704
5f-89,1661,867
5f-90,1661,970
5f-91,1661,1021
5f-92,1555,1017
5f-93,1555,1132
5f-94,1660,1130
5f-95,1660,1175
5f-96,1662,1212
5f-97,1662,1287
5f-98,1660,1342
5f-99,1659,1496
5f-100,1659,1531
5f-101,1656,1671
5f-102,1655,1745
5f-103,1801,1824
5f-104,1653,1823
5f-105,1576,1823
5f-106,1546,1821
5f-107,1412,1826
5f-108,1053,1831
5f-109,697,1820
5f-110,699,1761
5f-111,618,1822
5f-112,569,1823
5f-113,509,1824
5f-114,434,1828
5f-115,300,1830
5f-116,438,1701
5f-117,437,1585
5f-118,437,1526
5f-119,438,1288
5f-120,435,1452
5f-121,434,1184
5f-122,438,813
5f-123,437,656
5f-124,436,557
5f-125,437,454
5f-126,1852,1072
