Label,X,Y
9f-1,1118,340
9f-2,1009,318
9f-3,991,357
9f-4,936,413
9f-5,928,481
9f-6,1030,479
9f-7,1074,604
9f-8,1075,743
9f-9,1076,1014
9f-10,1074,1194
9f-11,1075,1318
9f-12,1054,1665
9f-13,1018,1664
9f-14,1120,1742
9f-15,1097,1791
9f-16,1029,1791
9f-17,993,1743
9f-18,905,1282
9f-19,907,1150
9f-20,907,1115
9f-21,1097,334
9f-22,1036,336
9f-23,1009,334
9f-24,1036,357
9f-25,1010,355
9f-26,1094,453
9f-27,1028,452
9f-28,968,413
9f-29,968,454
9f-30,926,453
9f-31,1098,602
9f-32,1102,742
9f-33,1100,1015
9f-34,1099,1194
9f-35,1103,1320
9f-36,1092,1684
9f-37,1052,1682
9f-38,1021,1684
9f-39,992,1683
9f-40,1095,1745
9f-41,1056,1744
9f-42,1026,1744
9f-43,922,1680
9f-44,923,1624
9f-45,927,1581
9f-46,862,1578
9f-47,867,1278
9f-48,872,1148
9f-49,872,1113
